transaction_id,category,amount,quantity,customer_id
1,clothing,274.08,19,5622
2,books,282.48,6,9363
3,clothing,756.3,8,1750
4,clothing,331.44,4,5916
5,furniture,533.77,2,5679
6,furniture,462.65,17,9939
7,furniture,223.61,13,5965
8,books,361.29,8,8995
9,clothing,692.52,12,5244
10,furniture,813.56,14,9397
11,electronics,827.77,15,8967
12,toys,409.23,9,6482
13,furniture,462.51,10,5949
14,clothing,881.36,3,3818
15,furniture,790.95,15,3797
16,toys,393.9,2,3723
17,electronics,927.67,15,7528
18,books,918.52,14,1680
19,toys,614.15,11,1835
20,toys,913.63,2,8851
21,books,715.12,6,7399
22,books,15.22,13,4827
23,books,892.52,11,3867
24,clothing,748.38,8,6589
25,electronics,829.55,13,2668
26,clothing,259.13,16,1225
27,electronics,435.56,7,1194
28,clothing,204.32,5,8027
29,clothing,250.49,12,4065
30,clothing,174.48,5,8948
31,electronics,304.63,9,5427
32,furniture,603.18,4,2247
33,clothing,68.84,17,7970
34,clothing,133.92,4,2332
35,electronics,590.12,15,7085
36,furniture,567.41,12,4645
37,toys,36.58,17,7211
38,electronics,499.83,13,6570
39,toys,790.57,7,8144
40,clothing,697.53,10,7600
41,electronics,57.36,13,4334
42,books,900.46,19,5600
43,electronics,986.72,2,7252
44,books,676.7,17,1048
45,furniture,520.13,9,8588
46,clothing,591.77,10,7260
47,clothing,930.15,8,1680
48,electronics,624.04,8,7766
49,furniture,125.02,13,8775
50,toys,628.09,10,3234
51,toys,634.66,1,5385
52,clothing,574.41,17,1391
53,clothing,185.7,10,6687
54,books,572.39,1,7910
55,books,578.94,13,4374
56,toys,428.96,11,5005
57,toys,469.34,4,7095
58,electronics,903.77,2,7704
59,clothing,353.73,10,8664
60,electronics,69.03,9,1869
61,electronics,333.76,15,9008
62,clothing,659.1,19,4219
63,electronics,207.99,16,4392
64,clothing,124.32,13,6913
65,books,352.06,2,3232
66,electronics,24.04,3,2082
67,books,48.11,1,4862
68,electronics,711.64,4,4865
69,books,531.82,17,7859
70,electronics,36.46,8,8400
71,electronics,877.66,14,7657
72,electronics,444.36,18,8294
73,electronics,545.52,13,5829
74,furniture,522.82,1,7386
75,books,240.71,5,5095
76,electronics,708.15,7,4412
77,books,412.17,8,4499
78,toys,291.03,9,3188
79,toys,987.41,7,2046
80,clothing,34.52,13,6535
81,books,674.29,4,1606
82,furniture,588.27,6,1790
83,toys,56.86,12,6872
84,furniture,532.9,17,6150
85,clothing,818.01,9,2060
86,clothing,112.11,9,4381
87,toys,553.09,13,4992
88,books,883.75,7,8677
89,toys,691.47,14,2389
90,furniture,153.28,6,9853
91,furniture,537.49,13,7435
92,electronics,986.92,5,3571
93,clothing,895.91,10,4785
94,clothing,981.12,16,4607
95,books,511.06,5,2280
96,clothing,470.11,14,4538
97,books,930.68,15,4625
98,toys,150.73,10,2603
99,electronics,995.54,13,5281
100,clothing,929.99,9,2072
101,electronics,312.78,18,3717
102,books,164.46,16,4499
103,clothing,427.92,3,6426
104,clothing,940.14,3,1945
105,electronics,89.97,15,4207
106,books,251.93,16,5364
107,electronics,330.96,2,3149
108,clothing,477.78,13,9394
109,toys,141.22,16,2528
110,electronics,947.66,8,7256
111,furniture,754.72,1,7938
112,furniture,531.58,19,6782
113,furniture,229.35,12,3158
114,books,67.33,3,9964
115,electronics,790.42,8,8060
116,toys,351.36,7,7460
117,toys,934.84,10,4296
118,clothing,216.34,14,7797
119,furniture,301.81,18,9572
120,electronics,34.92,13,6168
121,furniture,517.81,11,7543
122,books,243.3,11,9875
123,electronics,120.95,11,3548
124,toys,579.95,11,5085
125,furniture,11.27,9,8240
126,electronics,327.85,14,6420
127,electronics,859.06,19,8066
128,furniture,139.43,5,3331
129,toys,179.95,4,6855
130,furniture,329.61,13,4700
131,electronics,221.25,14,2538
132,books,813.28,5,1755
133,furniture,890.5,6,5136
134,books,260.82,16,6425
135,clothing,790.54,9,5496
136,electronics,927.87,9,8919
137,electronics,189.55,1,8700
138,toys,183.06,19,8477
139,electronics,41.19,11,8536
140,toys,320.54,14,2711
141,furniture,596.91,13,1076
142,electronics,760.7,16,4201
143,electronics,827.89,7,3746
144,books,872.99,3,3195
145,clothing,331.33,15,9793
146,toys,536.95,4,7355
147,clothing,505.23,16,3336
148,clothing,642.18,8,3751
149,toys,207.47,15,6239
150,clothing,780.43,7,9191
151,electronics,816.38,14,7148
152,furniture,233.08,1,6695
153,books,933.32,11,3748
154,clothing,155.75,18,2264
155,electronics,120.1,10,5997
156,furniture,502.2,6,8150
157,clothing,680.11,18,9130
158,electronics,600.47,6,5187
159,clothing,435.36,2,6800
160,toys,202.71,14,3095
161,clothing,364.04,1,7697
162,furniture,255.72,7,7424
163,furniture,658.94,2,1309
164,clothing,127.88,13,4863
165,electronics,176.32,6,5599
166,toys,942.21,14,4090
167,furniture,903.57,19,3888
168,clothing,968.8,16,9732
169,toys,706.99,6,9352
170,furniture,85.36,10,5533
171,toys,459.36,11,4761
172,furniture,997.94,15,4495
173,furniture,385.13,1,3893
174,books,539.5,7,5863
175,furniture,262.76,3,4382
176,furniture,427.42,11,9505
177,electronics,692.31,6,7141
178,clothing,346.25,5,1627
179,books,397.17,6,9258
180,furniture,657.73,14,4624
181,furniture,236.98,19,8994
182,toys,926.22,8,3451
183,furniture,577.61,15,8315
184,books,777.04,15,6609
185,clothing,614.99,12,4829
186,electronics,284.01,10,7434
187,clothing,729.03,14,9305
188,books,928.39,14,5532
189,books,358.24,19,7519
190,furniture,443.29,13,3857
191,electronics,171.65,11,3377
192,toys,526.77,10,7216
193,books,776.46,13,3352
194,clothing,514.81,10,4290
195,furniture,565.83,6,8247
196,furniture,241.02,3,6330
197,clothing,224.82,12,8945
198,toys,958.52,10,5042
199,clothing,800.25,2,3835
200,furniture,368.29,4,7206
201,books,87.1,11,7450
202,clothing,460.45,5,8692
203,electronics,204.49,9,5015
204,electronics,829.43,15,2142
205,furniture,972.62,19,2153
206,electronics,757.92,5,4477
207,toys,760.72,11,4521
208,clothing,53.64,11,4369
209,books,191.49,18,1009
210,toys,21.93,17,3893
211,toys,546.4,18,3297
212,toys,626.71,18,6773
213,clothing,964.04,1,8486
214,clothing,106.23,19,8755
